BANKBARODA | 2022-03 | opm_mismatch | computed opm=51.12 vs source opm=-2948.0
BANKBARODA | 2023-03 | opm_mismatch | computed opm=40.45 vs source opm=6329.0
BANKBARODA | 2024-03 | opm_mismatch | computed opm=37.49 vs source opm=4102.0
BHARTIARTL | 2020-03 | interest_risk | ICR=-0.08 < 1.5
BHEL | 2016-03 | interest_risk | ICR=0.38 < 1.5
BHEL | 2020-03 | interest_risk | ICR=0.75 < 1.5
BHEL | 2021-03 | interest_risk | ICR=-5.69 < 1.5
BOSCHLTD | 2013-12 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
CANBK | 2013-03 | opm_mismatch | computed opm=21.18 vs source opm=655.0
CANBK | 2014-03 | opm_mismatch | computed opm=24.35 vs source opm=-672.0
CANBK | 2015-03 | opm_mismatch | computed opm=23.51 vs source opm=-621.0
CANBK | 2016-03 | opm_mismatch | computed opm=40.38 vs source opm=-8008.0
CANBK | 2017-03 | opm_mismatch | computed opm=37.85 vs source opm=-5775.0
CANBK | 2018-03 | opm_mismatch | computed opm=61.87 vs source opm=-13350.0
CANBK | 2019-03 | opm_mismatch | computed opm=56.73 vs source opm=-11590.0
CANBK | 2020-03 | opm_mismatch | computed opm=53.88 vs source opm=-12867.0
CANBK | 2021-03 | opm_mismatch | computed opm=61.83 vs source opm=-18367.0
CANBK | 2022-03 | opm_mismatch | computed opm=58.39 vs source opm=-13657.0
CANBK | 2023-03 | opm_mismatch | computed opm=49.8 vs source opm=-9877.0
CANBK | 2024-03 | opm_mismatch | computed opm=41.75 vs source opm=-7745.0
CHOLAFIN | 2013-03 | opm_mismatch | computed opm=26.77 vs source opm=472.0
CHOLAFIN | 2014-03 | opm_mismatch | computed opm=28.42 vs source opm=578.0
CHOLAFIN | 2015-03 | opm_mismatch | computed opm=28.56 vs source opm=696.0
CHOLAFIN | 2015-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
CHOLAFIN | 2016-03 | opm_mismatch | computed opm=30.04 vs source opm=899.0
CHOLAFIN | 2017-03 | opm_mismatch | computed opm=28.16 vs source opm=1143.0
CHOLAFIN | 2018-03 | opm_mismatch | computed opm=26.1 vs source opm=1451.0
CHOLAFIN | 2018-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
CHOLAFIN | 2019-03 | opm_mismatch | computed opm=22.96 vs source opm=1888.0
CHOLAFIN | 2020-03 | opm_mismatch | computed opm=27.79 vs source opm=1699.0
CHOLAFIN | 2020-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
CHOLAFIN | 2021-03 | opm_mismatch | computed opm=30.4 vs source opm=2094.0
CHOLAFIN | 2022-03 | opm_mismatch | computed opm=28.83 vs source opm=2924.0
CHOLAFIN | 2023-03 | opm_mismatch | computed opm=28.1 vs source opm=3515.0
CHOLAFIN | 2024-03 | opm_mismatch | computed opm=28.1 vs source opm=4548.0
CIPLA | 2013-03 | opm_mismatch | computed opm=73.26 vs source opm=2214.0
CIPLA | 2014-03 | opm_mismatch | computed opm=78.9 vs source opm=2147.0
CIPLA | 2015-03 | opm_mismatch | computed opm=80.94 vs source opm=2163.0
CIPLA | 2016-03 | opm_mismatch | computed opm=82.02 vs source opm=2480.0
CIPLA | 2017-03 | opm_mismatch | computed opm=82.66 vs source opm=2496.0
CIPLA | 2018-03 | opm_mismatch | computed opm=81.35 vs source opm=2826.0
CIPLA | 2019-03 | opm_mismatch | computed opm=81.07 vs source opm=3097.0
CIPLA | 2020-03 | opm_mismatch | computed opm=81.29 vs source opm=3206.0
CIPLA | 2021-03 | opm_mismatch | computed opm=77.8 vs source opm=4252.0
CIPLA | 2022-03 | opm_mismatch | computed opm=79.08 vs source opm=4553.0
CIPLA | 2023-03 | opm_mismatch | computed opm=77.91 vs source opm=5027.0
CIPLA | 2024-03 | opm_mismatch | computed opm=75.59 vs source opm=6291.0
COALINDIA | 2013-03 | opm_mismatch | computed opm=73.52 vs source opm=18087.0
COALINDIA | 2014-03 | opm_mismatch | computed opm=74.84 vs source opm=17766.0
COALINDIA | 2015-03 | opm_mismatch | computed opm=76.6 vs source opm=17343.0
COALINDIA | 2016-03 | opm_mismatch | computed opm=75.96 vs source opm=18714.0
COALINDIA | 2017-03 | opm_mismatch | computed opm=84.07 vs source opm=12448.0
COALINDIA | 2018-03 | opm_mismatch | computed opm=89.1 vs source opm=9288.0
COALINDIA | 2019-03 | opm_mismatch | computed opm=74.89 vs source opm=25007.0
COALINDIA | 2020-03 | opm_mismatch | computed opm=77.54 vs source opm=21581.0
COALINDIA | 2021-03 | opm_mismatch | computed opm=79.31 vs source opm=18628.0
COALINDIA | 2022-03 | opm_mismatch | computed opm=77.47 vs source opm=24721.0
COALINDIA | 2023-03 | opm_mismatch | computed opm=68.01 vs source opm=44232.0
COALINDIA | 2024-03 | opm_mismatch | computed opm=66.29 vs source opm=47971.0
DLF | 2014-03 | interest_risk | ICR=1.47 < 1.5
DLF | 2019-03 | interest_risk | ICR=1.42 < 1.5
HDFCBANK | 2013-03 | opm_mismatch | computed opm=35.22 vs source opm=3534.0
HDFCBANK | 2014-03 | opm_mismatch | computed opm=31.74 vs source opm=5602.0
HDFCBANK | 2015-03 | opm_mismatch | computed opm=31.9 vs source opm=7214.0
HDFCBANK | 2016-03 | opm_mismatch | computed opm=31.75 vs source opm=9037.0
HDFCBANK | 2017-03 | opm_mismatch | computed opm=32.56 vs source opm=11374.0
HDFCBANK | 2018-03 | opm_mismatch | computed opm=34.63 vs source opm=13374.0
HDFCBANK | 2019-03 | opm_mismatch | computed opm=33.15 vs source opm=16592.0
HDFCBANK | 2020-03 | opm_mismatch | computed opm=37.2 vs source opm=14593.0
HDFCBANK | 2021-03 | opm_mismatch | computed opm=40.81 vs source opm=16848.0
HDFCBANK | 2022-03 | opm_mismatch | computed opm=41.61 vs source opm=20795.0
HDFCBANK | 2023-03 | opm_mismatch | computed opm=36.92 vs source opm=29932.0
HDFCBANK | 2024-03 | opm_mismatch | computed opm=61.41 vs source opm=-44685.0
HDFCBANK | 2024-03 | interest_risk | ICR=1.4 < 1.5
HDFCLIFE | 2013-03 | opm_mismatch | computed opm=96.27 vs source opm=525.0
HDFCLIFE | 2014-03 | opm_mismatch | computed opm=96.48 vs source opm=605.0
HDFCLIFE | 2015-03 | opm_mismatch | computed opm=96.79 vs source opm=874.0
HDFCLIFE | 2016-03 | opm_mismatch | computed opm=94.74 vs source opm=953.0
HDFCLIFE | 2017-03 | opm_mismatch | computed opm=96.83 vs source opm=972.0
HDFCLIFE | 2018-03 | opm_mismatch | computed opm=96.67 vs source opm=1074.0
HDFCLIFE | 2019-03 | opm_mismatch | computed opm=96.87 vs source opm=1215.0
